Matrix Size,CPUs/Threads,Function,Implementation,Execution Time
512,8,TRANSPOSITION,SEQUENTIAL,0.002674185
512,8,SYMMETRY,SEQUENTIAL,0.000522681
512,8,TRANSPOSITION,SEQUENTIAL,0.002687022
512,8,SYMMETRY,SEQUENTIAL,0.000520974
512,8,TRANSPOSITION,SEQUENTIAL,0.002687119
512,8,TRANSPOSITION,SEQUENTIAL,0.002644546
512,8,TRANSPOSITION,SEQUENTIAL,0.002637342
512,8,TRANSPOSITION,SEQUENTIAL,0.002635285
512,8,TRANSPOSITION,SEQUENTIAL,0.002633497
512,8,TRANSPOSITION,SEQUENTIAL,0.002642445
1024,8,SYMMETRY,SEQUENTIAL,0.003462330
1024,8,TRANSPOSITION,SEQUENTIAL,0.020649627
1024,8,SYMMETRY,SEQUENTIAL,0.003014043
1024,8,TRANSPOSITION,SEQUENTIAL,0.017479785
1024,8,SYMMETRY,SEQUENTIAL,0.003006987
1024,8,TRANSPOSITION,SEQUENTIAL,0.017460123
1024,8,SYMMETRY,SEQUENTIAL,0.003006272
1024,8,TRANSPOSITION,SEQUENTIAL,0.017479286
1024,8,SYMMETRY,SEQUENTIAL,0.003001273
1024,8,TRANSPOSITION,SEQUENTIAL,0.017531805
1024,8,TRANSPOSITION,SEQUENTIAL,0.017446347
1024,8,TRANSPOSITION,SEQUENTIAL,0.017458774
1024,8,TRANSPOSITION,SEQUENTIAL,0.017498583
1024,8,TRANSPOSITION,SEQUENTIAL,0.017467968
1024,8,TRANSPOSITION,SEQUENTIAL,0.017462023
2048,8,SYMMETRY,SEQUENTIAL,0.017614320
2048,8,TRANSPOSITION,SEQUENTIAL,0.094704844
2048,8,SYMMETRY,SEQUENTIAL,0.015345596
2048,8,TRANSPOSITION,SEQUENTIAL,0.082655303
2048,8,SYMMETRY,SEQUENTIAL,0.015556380
2048,8,TRANSPOSITION,SEQUENTIAL,0.081554376
2048,8,SYMMETRY,SEQUENTIAL,0.015066996
2048,8,TRANSPOSITION,SEQUENTIAL,0.082872823
2048,8,SYMMETRY,SEQUENTIAL,0.014963716
2048,8,TRANSPOSITION,SEQUENTIAL,0.081975736
2048,8,TRANSPOSITION,SEQUENTIAL,0.078379810
2048,8,TRANSPOSITION,SEQUENTIAL,0.079013646
2048,8,TRANSPOSITION,SEQUENTIAL,0.078633778
2048,8,TRANSPOSITION,SEQUENTIAL,0.079273209
2048,8,TRANSPOSITION,SEQUENTIAL,0.079858921
4096,8,SYMMETRY,SEQUENTIAL,0.133192204
4096,8,TRANSPOSITION,SEQUENTIAL,0.362161882
4096,8,SYMMETRY,SEQUENTIAL,0.192929432
4096,8,TRANSPOSITION,SEQUENTIAL,0.414548889
4096,8,SYMMETRY,SEQUENTIAL,0.194723636
4096,8,TRANSPOSITION,SEQUENTIAL,0.409584641
4096,8,SYMMETRY,SEQUENTIAL,0.191081919
4096,8,TRANSPOSITION,SEQUENTIAL,0.413937189
4096,8,SYMMETRY,SEQUENTIAL,0.192650922
4096,8,TRANSPOSITION,SEQUENTIAL,0.411997437
4096,8,TRANSPOSITION,SEQUENTIAL,0.402590245
4096,8,TRANSPOSITION,SEQUENTIAL,0.398174509
4096,8,TRANSPOSITION,SEQUENTIAL,0.401979022
4096,8,TRANSPOSITION,SEQUENTIAL,0.404827319
4096,8,TRANSPOSITION,SEQUENTIAL,0.503754102
16,8,SYMMETRY,SEQUENTIAL,0.000000745
16,8,TRANSPOSITION,SEQUENTIAL,0.000000708
16,8,SYMMETRY,SEQUENTIAL,0.000000589
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,SYMMETRY,SEQUENTIAL,0.000000492
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
16,8,SYMMETRY,SEQUENTIAL,0.000000440
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
16,8,SYMMETRY,SEQUENTIAL,0.000000432
16,8,TRANSPOSITION,SEQUENTIAL,0.000000641
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000648
16,8,TRANSPOSITION,SEQUENTIAL,0.000000626
32,8,SYMMETRY,SEQUENTIAL,0.000001691
32,8,TRANSPOSITION,SEQUENTIAL,0.000002690
32,8,SYMMETRY,SEQUENTIAL,0.000001691
32,8,TRANSPOSITION,SEQUENTIAL,0.000002541
32,8,SYMMETRY,SEQUENTIAL,0.000001721
32,8,TRANSPOSITION,SEQUENTIAL,0.000002600
32,8,SYMMETRY,SEQUENTIAL,0.000001729
32,8,TRANSPOSITION,SEQUENTIAL,0.000002548
32,8,SYMMETRY,SEQUENTIAL,0.000001684
32,8,TRANSPOSITION,SEQUENTIAL,0.000002570
32,8,TRANSPOSITION,SEQUENTIAL,0.000002667
32,8,TRANSPOSITION,SEQUENTIAL,0.000002645
32,8,TRANSPOSITION,SEQUENTIAL,0.000002712
32,8,TRANSPOSITION,SEQUENTIAL,0.000002705
32,8,TRANSPOSITION,SEQUENTIAL,0.000002593
64,8,SYMMETRY,SEQUENTIAL,0.000006296
64,8,TRANSPOSITION,SEQUENTIAL,0.000014111
64,8,SYMMETRY,SEQUENTIAL,0.000006273
64,8,TRANSPOSITION,SEQUENTIAL,0.000009328
64,8,SYMMETRY,SEQUENTIAL,0.000006244
64,8,TRANSPOSITION,SEQUENTIAL,0.000009365
64,8,SYMMETRY,SEQUENTIAL,0.000006333
64,8,TRANSPOSITION,SEQUENTIAL,0.000009403
64,8,SYMMETRY,SEQUENTIAL,0.000006311
64,8,TRANSPOSITION,SEQUENTIAL,0.000009321
64,8,TRANSPOSITION,SEQUENTIAL,0.000009365
64,8,TRANSPOSITION,SEQUENTIAL,0.000009283
64,8,TRANSPOSITION,SEQUENTIAL,0.000009306
64,8,TRANSPOSITION,SEQUENTIAL,0.000009410
64,8,TRANSPOSITION,SEQUENTIAL,0.000009261
128,8,SYMMETRY,SEQUENTIAL,0.000024743
128,8,TRANSPOSITION,SEQUENTIAL,0.000054270
128,8,SYMMETRY,SEQUENTIAL,0.000024721
128,8,TRANSPOSITION,SEQUENTIAL,0.000038445
128,8,SYMMETRY,SEQUENTIAL,0.000024766
128,8,TRANSPOSITION,SEQUENTIAL,0.000044949
128,8,SYMMETRY,SEQUENTIAL,0.000024751
128,8,TRANSPOSITION,SEQUENTIAL,0.000038758
128,8,SYMMETRY,SEQUENTIAL,0.000024684
128,8,TRANSPOSITION,SEQUENTIAL,0.000038840
128,8,TRANSPOSITION,SEQUENTIAL,0.000040963
128,8,TRANSPOSITION,SEQUENTIAL,0.000039153
128,8,TRANSPOSITION,SEQUENTIAL,0.000038803
128,8,TRANSPOSITION,SEQUENTIAL,0.000039272
128,8,TRANSPOSITION,SEQUENTIAL,0.000038929
256,8,SYMMETRY,SEQUENTIAL,0.000097550
256,8,TRANSPOSITION,SEQUENTIAL,0.000433423
256,8,SYMMETRY,SEQUENTIAL,0.000097401
256,8,TRANSPOSITION,SEQUENTIAL,0.000354387
256,8,SYMMETRY,SEQUENTIAL,0.000097565
256,8,TRANSPOSITION,SEQUENTIAL,0.000359714
256,8,SYMMETRY,SEQUENTIAL,0.000097394
256,8,TRANSPOSITION,SEQUENTIAL,0.000352457
256,8,SYMMETRY,SEQUENTIAL,0.000097491
