Matrix Size,Function,Implementation,Execution Time
64,TRANSPOSITION,SEQUENTIAL,0.000009552
64,SYMMETRY,SEQUENTIAL,0.000005573
64,TRANSPOSITION,SEQUENTIAL,0.000009611
64,SYMMETRY,SEQUENTIAL,0.000005580
64,TRANSPOSITION,SEQUENTIAL,0.000009581
64,SYMMETRY,SEQUENTIAL,0.000005543
64,TRANSPOSITION,SEQUENTIAL,0.000009574
64,TRANSPOSITION,SEQUENTIAL,0.000009537
64,TRANSPOSITION,SEQUENTIAL,0.000009604
64,TRANSPOSITION,SEQUENTIAL,0.000009522
64,TRANSPOSITION,SEQUENTIAL,0.000009574
64,TRANSPOSITION,SEQUENTIAL,0.000009499
128,SYMMETRY,SEQUENTIAL,0.000022396
128,TRANSPOSITION,SEQUENTIAL,0.000042729
128,SYMMETRY,SEQUENTIAL,0.000022322
128,TRANSPOSITION,SEQUENTIAL,0.000039160
128,SYMMETRY,SEQUENTIAL,0.000022396
128,TRANSPOSITION,SEQUENTIAL,0.000039220
128,SYMMETRY,SEQUENTIAL,0.000022352
128,TRANSPOSITION,SEQUENTIAL,0.000039138
128,SYMMETRY,SEQUENTIAL,0.000022233
128,TRANSPOSITION,SEQUENTIAL,0.000039175
128,TRANSPOSITION,SEQUENTIAL,0.000039116
128,TRANSPOSITION,SEQUENTIAL,0.000039175
128,TRANSPOSITION,SEQUENTIAL,0.000039168
128,TRANSPOSITION,SEQUENTIAL,0.000039101
128,TRANSPOSITION,SEQUENTIAL,0.000039212
256,SYMMETRY,SEQUENTIAL,0.000088692
256,TRANSPOSITION,SEQUENTIAL,0.000354774
256,SYMMETRY,SEQUENTIAL,0.000088684
256,TRANSPOSITION,SEQUENTIAL,0.000344500
256,SYMMETRY,SEQUENTIAL,0.000088729
256,TRANSPOSITION,SEQUENTIAL,0.000310674
256,SYMMETRY,SEQUENTIAL,0.000088543
256,TRANSPOSITION,SEQUENTIAL,0.000311933
256,SYMMETRY,SEQUENTIAL,0.000088751
256,TRANSPOSITION,SEQUENTIAL,0.000309430
256,TRANSPOSITION,SEQUENTIAL,0.000311010
256,TRANSPOSITION,SEQUENTIAL,0.000313088
256,TRANSPOSITION,SEQUENTIAL,0.000316083
256,TRANSPOSITION,SEQUENTIAL,0.000308901
256,TRANSPOSITION,SEQUENTIAL,0.000310637
512,SYMMETRY,SEQUENTIAL,0.000578210
512,TRANSPOSITION,SEQUENTIAL,0.003090948
512,SYMMETRY,SEQUENTIAL,0.000481777
512,TRANSPOSITION,SEQUENTIAL,0.002553135
512,SYMMETRY,SEQUENTIAL,0.000486821
512,TRANSPOSITION,SEQUENTIAL,0.002534389
512,SYMMETRY,SEQUENTIAL,0.000481226
512,TRANSPOSITION,SEQUENTIAL,0.002537273
512,SYMMETRY,SEQUENTIAL,0.000482820
512,TRANSPOSITION,SEQUENTIAL,0.002533056
512,TRANSPOSITION,SEQUENTIAL,0.002534539
512,TRANSPOSITION,SEQUENTIAL,0.002530597
512,TRANSPOSITION,SEQUENTIAL,0.002530843
512,TRANSPOSITION,SEQUENTIAL,0.002527915
512,TRANSPOSITION,SEQUENTIAL,0.002542771
1024,SYMMETRY,SEQUENTIAL,0.004372291
1024,TRANSPOSITION,SEQUENTIAL,0.020949602
1024,SYMMETRY,SEQUENTIAL,0.002935641
1024,TRANSPOSITION,SEQUENTIAL,0.017291829
1024,SYMMETRY,SEQUENTIAL,0.002937421
1024,TRANSPOSITION,SEQUENTIAL,0.017293565
1024,SYMMETRY,SEQUENTIAL,0.002934195
1024,TRANSPOSITION,SEQUENTIAL,0.017232463
